"Sätze","Junktor"
"Die niedrigen, leichtgebauten Häuser sahen den Fluss.",Proposition
"Die Höhe stockte nicht.",Negation
"Ein junger Kaufmann saß am Fenster nicht.",Negation
"Wenn die Brücke die Anhöhen hinzog, dann ließ der fremdartige Vollbart das Geschäft an.",Implikation
"Das Fenster beendete einen Brief.",Proposition
"Der Freund beendete einen Brief oder der Fremde verschloss das Haus.",Disjunktion
"Wenn Georg Bendemann im ersten Stock sitzt, dann sitzt ein junger Kaufmann im ersten Stock.",Implikation
"Wenn die niedrigen, leichtgebauten Häuser den Fluss sahen, dann saß ein junger Kaufmann am Fenster.",Implikation
"Wenn die Anhöhen die Brücke verdeckten, dann arbeitete der Freund im Ausland.",Implikation
"Die Höhe stockte.",Proposition
"Georg Bendemann klagte.",Proposition
"Georg Bendemann betrieb das Geschäft oder einen Sonntagvormittag schien der Freund.",Disjunktion
"Georg Bendemann betrieb das Geschäft und einen Sonntagvormittag schien der Freund.",Konjunktion
"Wenn die Anhöhen den Freund flüchteten, dann richtete die Brücke die Anhöhen.",Implikation
"Die Anhöhen flüchteten den Freund und die Brücke richtete die Anhöhen.",Konjunktion
"Die Anhöhen arbeiteten im Ausland.",Proposition
"Georg Bendemann hatte gerade einen Brief an einen sich im Ausland befindlichen Jugendfreund beendet.",Proposition
"Georg Bendemann betrieb das Geschäft.",Proposition
"Wenn der Freund in Petersburg ist, dann ist ein junger Kaufmann in Rußland.",Implikation
"Wenn Georg Bendemann das Geschäft betrieb, dann schien einen Sonntagvormittag der Freund.",Implikation
"Wenn das Fenster einen Brief beendete, dann verschloss das Haus den Fluss.",Implikation
"Einen Sonntagvormittag schien der Freund nicht.",Negation
"Ein endgültiges Junggesellentum saß am Fenster.",Proposition
"Ein endgültiges Junggesellentum dachte.",Proposition
"Der Fremde verschloss das Haus nicht.",Negation
"Die Anhöhen flüchteten den Freund oder die Brücke richtete die Anhöhen.",Disjunktion
"Wenn Georg Bendemann im ersten Stock sitzt, dann hat ein junger Kaufmann eine rechte Verbindung mit der dortigen Kolonie.",Implikation
"Ein junger Kaufmann ließ das Geschäft an nicht.",Negation
"Der Fremde zog die Anhöhen hin und ein junger Kaufmann ließ das Geschäft an.",Konjunktion
"Der Fremde stockte nicht.",Negation
"Die niedrigen, leichtgebauten Häuser unterschieden sich.",Proposition
"Der Fremde zog die Anhöhen hin nicht.",Negation
"Die niedrigen, leichtgebauten Häuser richteten die Anhöhen.",Proposition
"Der Freund beendete einen Brief.",Proposition
"Der Fremde klagte.",Proposition
"Georg Bendemann ist ein junger Kaufmann und hat keine rechte Verbindung mit der dortigen Kolonie der Landsleute.",Konjunktion
"Die Höhe verdeckte die Brücke oder die Anhöhen arbeiteten im Ausland.",Disjunktion
"Ein junger Kaufmann sah aus dem Fenster.",Proposition
"Wenn einen Sonntagvormittag der Freund flüchtete, dann richteten die niedrigen, leichtgebauten Häuser die Anhöhen.",Implikation
"Die Höhe verdeckte die Brücke und die Anhöhen arbeiteten im Ausland.",Konjunktion
"Der Freund dachte nicht.",Negation
"Der fremdartige Vollbart dachte nicht.",Negation
"Die Anhöhen verdeckten die Brücke und der Freund arbeitete im Ausland.",Konjunktion
"Der Fremde zog die Anhöhen hin oder ein junger Kaufmann ließ das Geschäft an.",Disjunktion
"Die Brücke zog die Anhöhen hin oder der fremdartige Vollbart ließ das Geschäft an.",Disjunktion
"Der Fremde verschloss das Haus.",Proposition
"Wenn der Freund in Petersburg ist, dann ist der Freund in Rußland.",Implikation
