Sätze	Wahrheitswert	intrinsisch/extrinsisch	Ich weiss es nicht	Kommentar
Die niedrigen, leichtgebauten Häuser sahen den Fluss.	FALSE	extrinsisch		
Die Höhe stockte nicht.	TRUE	intrinsisch		
Ein junger Kaufmann saß am Fenster nicht.	FALSE	extrinsisch		Dass er aus dem Fenster sehen kann interpretiere ich als "am Fenster sitzen"
Wenn die Brücke die Anhöhen hinzog, dann ließ der fremdartige Vollbart das Geschäft an.	TRUE	extrinsisch		Dass A falsch ist, ist extrinsisch, aber dass die komplette Implikation dann wahr ist, ist intrinsisch
Das Fenster beendete einen Brief.	FALSE	extrinsisch		
Der Freund beendete einen Brief oder der Fremde verschloss das Haus.	FALSE	extrinsisch		Ich habe "Freund" als "Eigenname" für Georgs Freund angenommen, obwohl Georg natürlich auch ein Freund des Freundes ist und der A-Teil dann wahr sein könnte 
Wenn Georg Bendemann im ersten Stock sitzt, dann sitzt ein junger Kaufmann im ersten Stock.	TRUE	extrinsisch		
Wenn die niedrigen, leichtgebauten Häuser den Fluss sahen, dann saß ein junger Kaufmann am Fenster.	TRUE	extrinsisch		
Wenn die Anhöhen die Brücke verdeckten, dann arbeitete der Freund im Ausland.	TRUE	extrinsisch		
Die Höhe stockte.	FALSE	intrinsisch		
Georg Bendemann klagte.	FALSE	extrinsisch		
Georg Bendemann betrieb das Geschäft oder einen Sonntagvormittag schien der Freund.	FALSE	extrinsisch		
Georg Bendemann betrieb das Geschäft und einen Sonntagvormittag schien der Freund.	FALSE	extrinsisch		
Wenn die Anhöhen den Freund flüchteten, dann richtete die Brücke die Anhöhen.	TRUE	extrinsisch		
Die Anhöhen flüchteten den Freund und die Brücke richtete die Anhöhen.	FALSE	extrinsisch		
Die Anhöhen arbeiteten im Ausland.	FALSE	extrinsisch		
Georg Bendemann hatte gerade einen Brief an einen sich im Ausland befindlichen Jugendfreund beendet.	TRUE	extrinsisch		
Georg Bendemann betrieb das Geschäft.	FALSE	extrinsisch		
Wenn der Freund in Petersburg ist, dann ist ein junger Kaufmann in Rußland.	TRUE	extrinsisch		Dass der Freund ein Geschäf hat, kann man auch so deuten, dass er auch ein Kaufmann ist, und er sollte jung sein, da er ein Jugendfreund von Georg ist und beide im gleichen Alter sein sollten
Wenn Georg Bendemann das Geschäft betrieb, dann schien einen Sonntagvormittag der Freund.	TRUE	extrinsisch		
Wenn das Fenster einen Brief beendete, dann verschloss das Haus den Fluss.	TRUE	extrinsisch		
Einen Sonntagvormittag schien der Freund nicht.	TRUE	extrinsisch		
Ein endgültiges Junggesellentum saß am Fenster.	FALSE	extrinsisch		
Ein endgültiges Junggesellentum dachte.	FALSE	extrinsisch		
Der Fremde verschloss das Haus nicht.	TRUE	extrinsisch		
Die Anhöhen flüchteten den Freund oder die Brücke richtete die Anhöhen.	FALSE	extrinsisch		
Wenn Georg Bendemann im ersten Stock sitzt, dann hat ein junger Kaufmann eine rechte Verbindung mit der dortigen Kolonie.	FALSE	extrinsisch		
Ein junger Kaufmann ließ das Geschäft an nicht.	TRUE	extrinsisch		
Der Fremde zog die Anhöhen hin und ein junger Kaufmann ließ das Geschäft an.	FALSE	extrinsisch		
Der Fremde stockte nicht.	TRUE	extrinsisch		
Die niedrigen, leichtgebauten Häuser unterschieden sich.	TRUE	extrinsisch		
Der Fremde zog die Anhöhen hin nicht.	TRUE	extrinsisch		
Die niedrigen, leichtgebauten Häuser richteten die Anhöhen.	FALSE	extrinsisch		
Der Freund beendete einen Brief.	FALSE	extrinsisch		
Der Fremde klagte.	FALSE	extrinsisch		Sollte "Die Fremde" sein, ich habe es mal so interpretiert, als ob dort "die Fremde" steht, da der Satz sonst immer Falsch wäre, da es keinen Fremden im Text gibt
Georg Bendemann ist ein junger Kaufmann und hat keine rechte Verbindung mit der dortigen Kolonie der Landsleute.	TRUE	extrinsisch		Aus dem Text lässt sich ablesen, dass Georg keine Verbindung dort hat, aber es lässt anhand des Texts sich nicht komplett ausschließen 
Die Höhe verdeckte die Brücke oder die Anhöhen arbeiteten im Ausland.	FALSE	extrinsisch		
Ein junger Kaufmann sah aus dem Fenster.	TRUE	extrinsisch		
Wenn einen Sonntagvormittag der Freund flüchtete, dann richteten die niedrigen, leichtgebauten Häuser die Anhöhen.	TRUE	extrinsisch		
