Sätze	Wahrheitswert	intrinsisch/extrinsisch	Ich weiss es nicht	Kommentar	@dropdown
Die niedrigen, leichtgebauten Häuser sahen den Fluss.	FALSE	intrinsisch 		Häuser können nicht sehen	
Die Höhe stockte nicht.	TRUE	intrinsisch 			
Ein junger Kaufmann saß am Fenster nicht.	FALSE	extrinsisch 		eigentlich ungrammatisch, aber verständlich	
Wenn die Brücke die Anhöhen hinzog, dann ließ der fremdartige Vollbart das Geschäft an.	TRUE				
Das Fenster beendete einen Brief.	FALSE	extrinsisch 			
Der Freund beendete einen Brief oder der Fremde verschloss das Haus.	FALSE	extrinsisch 	X	"der Fremde" kommt in dem Text gar nicht vor (sondern "die Fremde"), also können wir nicht wissen, ob er "das Haus" verschloss...	
Wenn Georg Bendemann im ersten Stock sitzt, dann sitzt ein junger Kaufmann im ersten Stock.	TRUE	extrinsisch 			
Wenn die niedrigen, leichtgebauten Häuser den Fluss sahen, dann saß ein junger Kaufmann am Fenster.	TRUE			mit allgemeinsprachlichem Verständnis schwer verdaulich	
Wenn die Anhöhen die Brücke verdeckten, dann arbeitete der Freund im Ausland.	TRUE				
Die Höhe stockte.	FALSE	intrinsisch 			
Georg Bendemann klagte.	FALSE	extrinsisch 			
Georg Bendemann betrieb das Geschäft oder einen Sonntagvormittag schien der Freund.	FALSE	extrinsisch 		zweiter Teilsatz ungrammatisch, aber halbwegs verständlich!?	
Georg Bendemann betrieb das Geschäft und einen Sonntagvormittag schien der Freund.	FALSE	extrinsisch 		zweiter Teilsatz ungrammatisch, aber halbwegs verständlich!?	
Wenn die Anhöhen den Freund flüchteten, dann richtete die Brücke die Anhöhen.	TRUE	intrinsisch 		flüchteten ist nicht transitiv	
Die Anhöhen flüchteten den Freund und die Brücke richtete die Anhöhen.	FALSE	intrinsisch 			
Die Anhöhen arbeiteten im Ausland.	FALSE	extrinsisch 			
Georg Bendemann hatte gerade einen Brief an einen sich im Ausland befindlichen Jugendfreund beendet.	TRUE	extrinsisch 			
Georg Bendemann betrieb das Geschäft.	FALSE	extrinsisch 			
Wenn der Freund in Petersburg ist, dann ist ein junger Kaufmann in Rußland.	FALSE	extrinsisch 	X	Teilsatz 1 ist wahr, aber wir wissen nicht, ob der Freund Kaufmann ist	
Wenn Georg Bendemann das Geschäft betrieb, dann schien einen Sonntagvormittag der Freund.	TRUE	extrinsisch 			
Wenn das Fenster einen Brief beendete, dann verschloss das Haus den Fluss.	TRUE				
Einen Sonntagvormittag schien der Freund nicht.	FALSE	intrinsisch 			
Ein endgültiges Junggesellentum saß am Fenster.	FALSE	intrinsisch 			
Ein endgültiges Junggesellentum dachte.	FALSE	intrinsisch 			
Der Fremde verschloss das Haus nicht.	FALSE	extrinsisch 	X	"der Fremde" kommt in dem Text gar nicht vor (sondern "die Fremde"), also können wir nicht wissen, ob er "das Haus" verschloss...	
Die Anhöhen flüchteten den Freund oder die Brücke richtete die Anhöhen.	FALSE	intrinsisch 			
Wenn Georg Bendemann im ersten Stock sitzt, dann hat ein junger Kaufmann eine rechte Verbindung mit der dortigen Kolonie.	FALSE	extrinsisch 		S1 wahr, S2 falsch; NB: nur im Logik-Sprech wahr, allgemeinsprachlich totaler Quatsch - man präsupponiert bei "wenn, dann" einen inhaltlichen Zusammenhang	
Ein junger Kaufmann ließ das Geschäft an nicht.	TRUE	extrinsisch 		ungrammatisch, aber verständlich	
Der Fremde zog die Anhöhen hin und ein junger Kaufmann ließ das Geschäft an.	FALSE	extrinsisch 			
Der Fremde stockte nicht.	FALSE	extrinsisch 	X	"der Fremde" kommt in dem Text gar nicht vor (sondern "die Fremde"), also können wir nicht wissen, ob er "das Haus" verschloss...	
Die niedrigen, leichtgebauten Häuser unterschieden sich.	TRUE	extrinsisch 		tückisch, hätte fast nein gesagt, weil sie sich sehr wenig unterschieden...	
Der Fremde zog die Anhöhen hin nicht.	FALSE	extrinsisch 	X	"der Fremde" kommt in dem Text gar nicht vor (sondern "die Fremde"), also können wir nicht wissen, ob er "das Haus" verschloss...	
Die niedrigen, leichtgebauten Häuser richteten die Anhöhen.	FALSE	intrinsisch 		NB: im Text ist die Partikel ein von einrichten getrennt...	
Der Freund beendete einen Brief.	FALSE	extrinsisch 			
Der Fremde klagte.	FALSE			Präsuppositionsfehler	
Georg Bendemann ist ein junger Kaufmann und hat keine rechte Verbindung mit der dortigen Kolonie der Landsleute.	FALSE	extrinsisch 			
Die Höhe verdeckte die Brücke oder die Anhöhen arbeiteten im Ausland.	FALSE	intrinsisch 			
Ein junger Kaufmann sah aus dem Fenster.	TRUE	extrinsisch 			
Wenn einen Sonntagvormittag der Freund flüchtete, dann richteten die niedrigen, leichtgebauten Häuser die Anhöhen.	TRUE	intrinsisch 			
Die Höhe verdeckte die Brücke und die Anhöhen arbeiteten im Ausland.	FALSE	intrinsisch 			
Der Freund dachte nicht.	FALSE	extrinsisch 	X		
Der fremdartige Vollbart dachte nicht.	TRUE	intrinsisch 			
Die Anhöhen verdeckten die Brücke und der Freund arbeitete im Ausland.	FALSE	intrinsisch 			
Der Fremde zog die Anhöhen hin oder ein junger Kaufmann ließ das Geschäft an.	FALSE				
Die Brücke zog die Anhöhen hin oder der fremdartige Vollbart ließ das Geschäft an.	FALSE				
Der Fremde verschloss das Haus.	FALSE			Präsuppositionsfehler	
Wenn der Freund in Petersburg ist, dann ist der Freund in Rußland.	TRUE	extrinsisch 		Im Gegensatz zu den meisten anderen wenn-dann Sätzen, würde man so etwas auch allgemeinsprachlich sagen	
Wenn der Fremde die Anhöhen hinzog, dann ließ ein junger Kaufmann das Geschäft an.	FALSE				
Die dortige Kolonie betrieb das Geschäft.	FALSE	extrinsisch 		"das Geschäft" muss sich auf das Geschäft des Freundes beziehen	
Die dortige Kolonie betrieb das Geschäft oder seine Landsleute schienen dem Freund.	FALSE	extrinsisch 		S2 ist ungrammatisch (und nicht nahe an einem wahren Satz)	
Georg Bendemann ist ein junger Kaufmann und hatte einen Brief verschlossen.	TRUE	extrinsisch 		Plusquamperfekt ist etwas verwirrend	
Georg Bendemann dachte.	TRUE	extrinsisch 		"dachte" rein intransitiv klingt hier komisch, trotzdem wahr	
Die Brücke zog die Anhöhen hin.	FALSE	intrinsisch 			
Das Fenster beendete einen Brief nicht.	TRUE	intrinsisch 		eigenartig	
Wenn die Anhöhen die Brücke verdeckten, dann arbeitete der Freund im Ausland.	TRUE	intrinsisch 			
Auch fast keinen gesellschaftlichen Verkehr klagte nicht.	FALSE	intrinsisch 		komisch	
Der fremdartige Vollbart ließ das Geschäft an nicht.	FALSE	intrinsisch 			
Wenn die Höhe die Brücke verdeckte, dann arbeiteten die Anhöhen im Ausland.	TRUE	intrinsisch 			
Georg Bendemann sitzt in einem der niedrigen, leichtgebauten Häuser.	FALSE	extrinsisch 			
Die Anhöhen klagten nicht.	TRUE	intrinsisch 		eigenartig	
Der Fremde zog die Anhöhen hin oder ein junger Kaufmann ließ das Geschäft an.	FALSE		X	was soll S2 heißen?	
Wenn Georg Bendemann im ersten Stock sitzt, dann hat ein junger Kaufmann fast keinen gesellschaftlichen Verkehr .	FALSE	extrinsisch 		eigentlich wieder Quatsch	
Das Fenster beendete einen Brief oder das Haus verschloss den Fluss.	FALSE	intrinsisch 			
Das Fenster beendete einen Brief oder das Haus verschloss den Fluss.	FALSE	intrinsisch 		Dublette!	
Ein junger Kaufmann saß am Fenster.	TRUE	extrinsisch 			
Der Freund beendete einen Brief oder der Fremde verschloss das Haus.	FALSE			Präsuppositionsfehler	
Georg Bendemann ist ein junger Kaufmann und es ist Sonntagvormittag.	TRUE	extrinsisch 		Präsens in Bezug auf die Erzählzeit kommt überraschend, aber man würde es als wahr einschätzen	
Georg Bendemann ist ein junger Kaufmann.	TRUE	extrinsisch 			
Die Brücke richtete die Anhöhen nicht.	TRUE	intrinsisch 			
Ein junger Kaufmann erzählte.	FALSE		X	dazu steht nichts im Text	
Die Anhöhen stockten.	FALSE	intrinsisch 			
Wenn der Freund einen Brief beendete, dann verschloss der Fremde das Haus.	FALSE			Präsuppositionsfehler	
Die Brücke klagte.	FALSE	intrinsisch 			
